TABLE:  Brace Object Connectivity,,,,,,
Unique Name,Story,BraceBay,UniquePtI,UniquePtJ,Length,GUID
,,,,,ft,
47,Story8,D3,23,28,16.62077014,fc1c3839-008d-4d74-bfbb-0a37c11c8e0d
48,Story8,D5,24,28,16.62077014,b484c834-fe1b-480d-b161-eb841b7b385b
41,Story7,D3,20,25,16.62077014,626618ea-243e-42b1-aa6f-239a9843c1da
42,Story7,D5,21,25,16.62077014,97e909b4-f2b1-4557-98ad-8dd84d2e04e2
35,Story6,D3,17,22,16.62077014,2499e1af-876d-4feb-90fb-b9b67e308368
36,Story6,D5,18,22,16.62077014,77a06f24-483e-4e45-b249-6ef7c8155574
29,Story5,D3,12,19,16.62077014,85ac4ece-dc32-4ce8-90c0-04c0980da1fd
30,Story5,D5,13,19,16.62077014,2a7014c9-a4f7-45e7-9e8d-56bb62c740d8
23,Story4,D3,9,14,16.62077014,6ec3c046-eacc-4e8b-9465-06c40c0a96cf
24,Story4,D5,10,14,16.62077014,37373ba3-c830-4bae-8b54-100a793da09e
17,Story3,D3,1,11,16.62077014,01092b13-cdb1-4f41-a15d-d5f5a206eb95
18,Story3,D5,3,11,16.62077014,516a355c-8a74-4cfb-bc65-b71cba4f669f
11,Story2,D3,4,2,16.62077014,9a2191bf-7fd2-4f34-b676-0c36925730e5
12,Story2,D5,6,2,16.62077014,bc9b4c10-2441-4a6a-b332-42ebd2518715
9,Story1,D3,7,5,16.62077014,48508884-c491-4aef-908c-d778b83716af
10,Story1,D5,8,5,16.62077014,72e08dd4-f91d-4df8-83a8-b73a47c594fa
